"sigma.hat","GARCH","Frequency","MSE","QLIKE"
0.0123772651610203,"sGARCH","Day",2.01253095282941e-08,-8.70981114519501
0.0119967334188892,"sGARCH","Day",1.10603077563043e-08,-7.11551066687817
0.0122548774656352,"sGARCH","Day",1.9118052055788e-08,-8.72433227062835
0.0118972864550594,"sGARCH","Day",9.92778610542629e-10,-7.64028719773284
0.0119450202291928,"sGARCH","Day",1.39545090540828e-08,-7.02697089743473
0.012210230262567,"sGARCH","Day",1.94894147848511e-07,-4.84987169479174
0.0132453775042367,"sGARCH","Day",2.45356513949273e-11,-7.61997945926239
0.0132424730579014,"sGARCH","Day",2.01094922021189e-07,-5.0914656950852
0.014217074582609,"sGARCH","Day",3.97998089059987e-08,-8.49362969633384
0.0137473257047989,"sGARCH","Day",2.05932514850615e-08,-8.33314399578039
0.0133955345162361,"sGARCH","Day",2.44104428396207e-08,-8.49636611955977
0.0130421859573035,"sGARCH","Day",1.83800896703489e-08,-8.47615920879895
0.0126781174327112,"sGARCH","Day",2.07684624149379e-10,-7.64609687672606
0.0126886323352367,"sGARCH","Day",4.79833823420622e-09,-7.30385258575327
0.0128348492837103,"sGARCH","Day",2.42640736335162e-08,-8.65676684174576
0.0124231715019261,"sGARCH","Day",9.73865709851099e-09,-8.41580134620471
0.0121425258144607,"sGARCH","Day",2.9703272009158e-07,-4.12563939107237
0.013460153475074,"sGARCH","Day",3.27617059551725e-08,-8.61508391791031
0.0129825637294021,"sGARCH","Day",2.33114193670901e-08,-8.59416104714786
0.0125911690469884,"sGARCH","Day",3.85605058895445e-11,-7.78868786857849
0.0125414232945272,"sGARCH","Day",1.04749643486503e-10,-7.6923662274028
0.0125374969826254,"sGARCH","Day",1.63706163533236e-08,-8.57203729420919
0.0122017269112934,"sGARCH","Day",2.14073669354602e-08,-8.79509646088672
0.0117791571256462,"sGARCH","Day",1.71407500773295e-08,-8.82644415689653
0.0114331257547,"sGARCH","Day",7.8495522239289e-09,-7.26469491508775
0.0116427486409444,"sGARCH","Day",5.15671889778792e-09,-8.43589921231673
0.0114250312446903,"sGARCH","Day",1.64271619247025e-08,-8.92579544263641
0.0110550813618772,"sGARCH","Day",6.00495173004903e-10,-7.80922259363147
0.0111052152246974,"sGARCH","Day",1.44037144850486e-08,-8.97383873673103
0.010787513955382,"sGARCH","Day",6.84653194043098e-09,-8.76976947606964
0.0105302883463839,"sGARCH","Day",6.89268391751663e-09,-7.35828910362039
0.0107721719464587,"sGARCH","Day",1.34198616162579e-08,-9.05989298034761
0.010400879198813,"sGARCH","Day",1.76729026211072e-07,-4.24563107810591
0.0116123770916587,"sGARCH","Day",1.76276277391502e-08,-8.89595582685844
0.0112284697068271,"sGARCH","Day",4.62727985016714e-08,-6.27243778289127
0.0118029160331146,"sGARCH","Day",1.50797246402358e-09,-7.60006526278209
0.0118901544497358,"sGARCH","Day",2.91817458035313e-09,-8.24619232899407
0.0117339854846852,"sGARCH","Day",1.13877447878695e-09,-7.64544058206734
0.0118047157812399,"sGARCH","Day",2.55897890118176e-09,-8.2415254568774
0.0116577374556309,"sGARCH","Day",1.32089853214345e-07,-5.22929455857333
0.0125686442163248,"sGARCH","Day",2.19885992278135e-08,-8.69178964764819
0.0121660769857167,"sGARCH","Day",6.11314779169846e-07,-2.53580702927702
0.0140109273465914,"sGARCH","Day",2.37702358673688e-08,-8.32122114716558
